2026-01-27 16:18:03.122 | INFO     | app.main:lifespan:27 | Nombre: PDF Generation System
2026-01-27 16:18:03.122 | INFO     | app.main:lifespan:28 | Entorno: development
2026-01-27 16:19:45.594 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/login | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:19:45.613 | INFO     | app.api.v1.auth:login:36 | Intento de login desde IP: 127.0.0.1, User-Agent: Combinación de Correspondencia/1.0.0
2026-01-27 16:19:45.622 | INFO     | app.auth:authenticate_user:87 | Intentando autenticar usuario: superadmin
2026-01-27 16:19:46.274 | INFO     | app.auth:authenticate_user:103 | Usuario autenticado exitosamente: superadmin
2026-01-27 16:19:46.566 | INFO     | app.auth:update_last_login:126 | Último login actualizado para usuario: superadmin
2026-01-27 16:19:46.572 | DEBUG    | app.auth:create_access_token:46 | Token de acceso creado para superadmin, expira: 2026-01-28 22:19:46.567214
2026-01-27 16:19:46.573 | DEBUG    | app.auth:create_refresh_token:60 | Token de refresh creado para superadmin, expira: 2026-02-03 22:19:46.573213
2026-01-27 16:19:46.573 | INFO     | app.api.v1.auth:login:62 | Login exitoso para usuario: superadmin
2026-01-27 16:19:46.575 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.982s
2026-01-27 16:19:46.582 | INFO     | app.main:log_requests:75 | Request: GET http://localhost:8000/api/v1/auth/me | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:19:46.704 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.122s
2026-01-27 16:19:46.711 | INFO     | app.main:log_requests:75 | Request: GET http://localhost:8000/api/v1/auth/me | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:19:46.827 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.116s
2026-01-27 16:19:46.930 | INFO     | app.main:log_requests:75 | Request: GET http://localhost:8000/api/v1/projects/?skip=0&limit=100 | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:19:47.212 | ERROR    | app.main:log_requests:80 | Error procesando request: Unable to serialize unknown type: <class 'app.models.Proyecto'>
2026-01-27 16:19:47.228 | ERROR    | app.main:global_exception_handler:111 | Error no manejado: Unable to serialize unknown type: <class 'app.models.Proyecto'>
2026-01-27 16:20:19.601 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:20:19.710 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.109s
2026-01-27 16:21:19.604 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:21:19.810 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.206s
2026-01-27 16:22:19.637 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:22:19.746 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.109s
2026-01-27 16:23:19.648 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:23:19.774 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.126s
2026-01-27 16:24:19.633 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:24:19.745 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.112s
2026-01-27 16:25:19.645 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:25:19.859 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.215s
2026-01-27 16:26:19.634 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:26:19.762 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.128s
2026-01-27 16:27:19.637 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:27:19.781 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.143s
2026-01-27 16:28:19.662 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:28:19.797 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.135s
2026-01-27 16:29:19.655 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:29:19.905 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.251s
2026-01-27 16:30:19.651 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:30:19.822 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.172s
2026-01-27 16:31:19.654 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:31:19.769 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.114s
2026-01-27 16:32:19.658 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:32:19.764 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.107s
2026-01-27 16:33:19.655 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:33:19.761 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.106s
2026-01-27 16:34:19.667 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:34:19.790 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.122s
2026-01-27 16:35:19.646 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:35:19.754 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.108s
2026-01-27 16:35:53.605 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/logout | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:35:53.910 | INFO     | app.api.v1.auth:logout:158 | Logout exitoso para usuario: superadmin
2026-01-27 16:35:53.914 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.309s
2026-01-27 16:36:22.031 | INFO     | app.main:lifespan:33 | Apagando aplicación...
2026-01-27 16:36:30.499 | INFO     | app.main:lifespan:26 | Iniciando aplicación...
2026-01-27 16:36:30.503 | INFO     | app.main:lifespan:27 | Nombre: PDF Generation System
2026-01-27 16:36:30.504 | INFO     | app.main:lifespan:28 | Entorno: development
2026-01-27 16:37:16.580 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/login | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:37:16.589 | INFO     | app.api.v1.auth:login:36 | Intento de login desde IP: 127.0.0.1, User-Agent: Combinación de Correspondencia/1.0.0
2026-01-27 16:37:16.591 | INFO     | app.auth:authenticate_user:87 | Intentando autenticar usuario: superadmin
2026-01-27 16:37:17.220 | INFO     | app.auth:authenticate_user:103 | Usuario autenticado exitosamente: superadmin
2026-01-27 16:37:17.577 | INFO     | app.auth:update_last_login:126 | Último login actualizado para usuario: superadmin
2026-01-27 16:37:17.583 | DEBUG    | app.auth:create_access_token:46 | Token de acceso creado para superadmin, expira: 2026-01-28 22:37:17.578503
2026-01-27 16:37:17.583 | DEBUG    | app.auth:create_refresh_token:60 | Token de refresh creado para superadmin, expira: 2026-02-03 22:37:17.583502
2026-01-27 16:37:17.583 | INFO     | app.api.v1.auth:login:62 | Login exitoso para usuario: superadmin
2026-01-27 16:37:17.588 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 1.008s
2026-01-27 16:37:17.592 | INFO     | app.main:log_requests:75 | Request: GET http://localhost:8000/api/v1/auth/me | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:37:17.715 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.123s
2026-01-27 16:37:17.727 | INFO     | app.main:log_requests:75 | Request: GET http://localhost:8000/api/v1/auth/me | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:37:17.849 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.122s
2026-01-27 16:37:17.963 | INFO     | app.main:log_requests:75 | Request: GET http://localhost:8000/api/v1/projects/?skip=0&limit=100 | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:37:18.134 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.171s
2026-01-27 16:38:09.830 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:38:09.956 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.126s
2026-01-27 16:38:34.994 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/projects/ | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:38:35.261 | INFO     | app.api.v1.projects:crear_proyecto:42 | Creando nuevo proyecto: IPEJOL
2026-01-27 16:38:35.675 | INFO     | app.core.padron_manager:create_padron_table:97 | Tabla de padrón creada: padron_completo_955bd208
